央视频道,#genre#
CCTV6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260516174615&Channel_ID=0116_2600037000-99000-200300220104991&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=116.128.189.245&SecurityKey=20260516174615&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=93aee2592f512e9fa0fac22c1e380fdf
CCTV6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260516174117&Channel_ID=0116_2600037000-99000-200300220104992&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=220.196.48.102&SecurityKey=20260516174117&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=711ac7d92067055fa272c2586fe8b8c4
CCTV6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260516174040&Channel_ID=0116_2600037000-99000-200300220104991&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=220.196.48.190&SecurityKey=20260516174040&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5d277f62a2df7125d61af8887d4c8bba
CCTV7国防军事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20260516173905&Channel_ID=0116_2600037000-99000-200300220104990&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=220.196.48.18&SecurityKey=20260516173905&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8f7a3180c7cf67c850bdbbc5c45ef166
CCTV8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260516173724&Channel_ID=0116_2600037000-99000-200300220104989&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=220.196.48.224&SecurityKey=20260516173724&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a03c445308eeeb742003b41dd7378854
CCTV8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260516173455&Channel_ID=0116_2600037000-99000-200300220104988&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=220.196.48.219&SecurityKey=20260516173455&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2dde154b7ad2199d92601339c785e4a1
CCTV8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260516173424&Channel_ID=0116_2600037000-99000-200300220104987&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=220.196.48.108&SecurityKey=20260516173424&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=8c51350ade246e1c5eb5c9841b9ccd8d
CCTV9纪录,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20260516174225&Channel_ID=0116_2600037000-99000-200300220104994&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=116.128.189.128&SecurityKey=20260516174225&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=26259c37a5c4c5fe1c3ad6b21649f63d
CCTV5+体育赛事,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20260516175650&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=120.87.45.205&SecurityKey=20260516175650&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=2d9edd8dd24f1c6e84dce286bbb727e3&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1778925407726&prlId=4f89b0f1d885527a227fd4a636419cfe1778925407733&jid=4f89b0f1d885527a227fd4a636419cfe1778925406663V&is_advertise=0&sjid=subsession_1778925510172&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=fa06fb80a99df3276a3bb6e24c0a44ea
CCTV10科教,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20260516172121&Channel_ID=0116_2600037000-99000-200300220104968&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=220.196.48.109&SecurityKey=20260516172121&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-9.5.1-RELEASE&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a9a547b2d4932fe8eabfe4b063fd7ff3
